common_name,scientific_name,level,image_count,mean_confidence,min_confidence,median_confidence
aardvark,orycteropus afer,species,15,0.894,0.667,0.917
aardwolf,proteles cristata,species,7,0.771,0.697,0.765
african buffalo,syncerus caffer,species,252,0.909,0.651,0.947
african civet,civettictis civetta,species,23,0.849,0.679,0.860
african elephant,loxodonta africana,species,368,0.946,0.651,0.986
african wild dog,lycaon pictus,species,144,0.919,0.656,0.952
agouti genus,dasyprocta,genus,254,0.891,0.654,0.943
alpine ibex,capra ibex,species,188,0.888,0.654,0.922
alpine marmot,marmota marmota,species,7,0.761,0.652,0.750
american badger,taxidea taxus,species,133,0.889,0.650,0.927
american bison,bison bison,species,333,0.910,0.658,0.958
american black bear,ursus americanus,species,283,0.917,0.664,0.954
american mink,neovison vison,species,6,0.729,0.679,0.725
arizona black-tailed prairie dog,cynomys ludovicianus,species,243,0.904,0.650,0.948
asian elephant,elephas maximus,species,87,0.904,0.651,0.949
asiatic black bear,ursus thibetanus,species,2,0.710,0.705,0.716
asiatic wild ass,equus hemionus,species,0,0.000,0.000,0.000
ateles species,ateles,genus,0,0.000,0.000,0.000
aye-aye,daubentonia madagascariensis,species,0,0.000,0.000,0.000
baboon genus,papio,genus,271,0.862,0.653,0.885
baird's tapir,tapirus bairdii,species,11,0.814,0.662,0.818
bat-eared fox,otocyon megalotis,species,31,0.803,0.651,0.791
beaver genus,castor,genus,35,0.777,0.657,0.763
bighorn sheep,ovis canadensis,species,216,0.913,0.651,0.961
binturong,arctictis binturong,species,1,0.800,0.800,0.800
black wildebeest,connochaetes gnou,species,44,0.863,0.658,0.913
black-backed jackal,canis mesomelas,species,33,0.863,0.656,0.884
blackbuck,antilope cervicapra,species,1,0.829,0.829,0.829
blesbok,damaliscus pygargus,species,80,0.822,0.650,0.833
bobcat,lynx rufus,species,407,0.911,0.652,0.962
bongo,tragelaphus eurycerus,species,0,0.000,0.000,0.000
bornean orangutan,pongo pygmaeus,species,115,0.921,0.674,0.953
brown bear,ursus arctos,species,153,0.916,0.674,0.962
brown hyaena,parahyaena brunnea,species,0,0.000,0.000,0.000
brown-throated sloth,bradypus variegatus,species,0,0.000,0.000,0.000
bushbuck,tragelaphus scriptus,species,302,0.914,0.650,0.953
california ground squirrel,otospermophilus beecheyi,species,24,0.787,0.651,0.796
callicebus genus,callicebus,genus,0,0.000,0.000,0.000
callithrix species,callithrix,genus,0,0.000,0.000,0.000
canada lynx,lynx canadensis,species,45,0.889,0.686,0.942
capybara,hydrochoerus hydrochaeris,species,269,0.908,0.652,0.960
caracal,caracal caracal,species,16,0.810,0.681,0.822
cebus species,cebus,genus,126,0.776,0.654,0.762
cephalophus species,cephalophus,genus,39,0.840,0.660,0.851
cercopithecus species,cercopithecus,genus,293,0.922,0.655,0.970
cheetah,acinonyx jubatus,species,274,0.951,0.655,0.979
chimpanzee,pan troglodytes,species,48,0.869,0.662,0.903
chipmunk genus,tamias,genus,209,0.895,0.654,0.928
chital,axis axis,species,64,0.829,0.684,0.852
clouded leopard,neofelis nebulosa,species,3,0.878,0.837,0.866
collared peccary,pecari tajacu,species,204,0.969,0.710,0.990
colobus species,colobus,genus,219,0.946,0.657,0.977
common duiker,sylvicapra grimmia,species,130,0.876,0.660,0.894
