class,band,effective_pool,synth_disp,train_disp,test_disp,capped
african civet,A,6,200.0,0.0,6.0,False
mouflon,A,6,200.0,0.0,6.0,False
hog badger genus,A,7,200.0,0.0,7.0,False
giant armadillo,A,10,200.0,0.0,10.0,False
domestic pig,A,14,200.0,0.0,14.0,False
drill,A,15,200.0,0.0,15.0,False
aye-aye,A,18,200.0,0.0,18.0,False
malay tapir,A,21,200.0,0.0,21.0,False
red-necked wallaby,A,23,200.0,0.0,23.0,False
clouded leopard,A,23,200.0,0.0,23.0,False
spilogale species,A,24,200.0,0.0,24.0,False
aardvark,A,28,200.0,0.0,28.0,False
binturong,A,31,200.0,0.0,31.0,False
aardwolf,A,39,200.0,0.0,39.0,False
bongo,A,39,200.0,0.0,39.0,False
mangabeys genus,A,42,200.0,0.0,42.0,False
red river hog,A,42,200.0,0.0,42.0,False
pangolin family,A,45,200.0,0.0,45.0,False
wolverine,A,46,200.0,0.0,46.0,False
pinniped clade,A,47,200.0,0.0,47.0,False
red brocket,A,47,200.0,0.0,47.0,False
saiga,A,47,200.0,0.0,47.0,False
brown hyaena,A,55,200.0,0.0,55.0,False
fossa,A,62,200.0,0.0,62.0,False
honey badger,A,72,200.0,0.0,72.0,False
maned wolf,A,76,200.0,0.0,76.0,False
sun bear,A,78,200.0,0.0,78.0,False
asiatic wild ass,A,78,200.0,0.0,78.0,False
domestic water buffalo,A,81,200.0,0.0,81.0,False
ocelot,A,84,200.0,0.0,84.0,False
cephalophus species,A,86,200.0,0.0,86.0,False
leopard cat,A,87,200.0,0.0,87.0,False
asiatic black bear,A,88,200.0,0.0,88.0,False
striped hyaena,A,89,200.0,0.0,89.0,False
fisher,A,92,200.0,0.0,92.0,False
yak,A,97,200.0,0.0,97.0,False
sloth bear,A,98,200.0,0.0,98.0,False
walrus,A,101,200.0,0.0,101.0,False
old world porcupine family,A,102,200.0,0.0,102.0,False
raccoon dog,A,105,200.0,0.0,105.0,False
callicebus genus,A,112,200.0,0.0,112.0,False
black-backed jackal,A,112,200.0,0.0,112.0,False
wild cat,A,112,200.0,0.0,112.0,False
ringtail,A,123,200.0,0.0,123.0,False
kinkajou,A,125,200.0,0.0,125.0,False
leopardus species,A,132,200.0,0.0,132.0,False
genet genus,A,132,200.0,0.0,132.0,False
water deer,A,133,200.0,0.0,133.0,False
eurasian badger,A,141,200.0,0.0,141.0,False
nine-banded armadillo,A,145,200.0,0.0,145.0,False
canada lynx,B,151,100.0,100.0,51.0,False
spectacled bear,B,153,100.0,100.0,53.0,False
caracal,B,159,100.0,100.0,59.0,False
eurasian lynx,B,161,100.0,100.0,61.0,False
black wildebeest,B,162,100.0,100.0,62.0,False
giant panda,B,169,100.0,100.0,69.0,False
serval,B,170,100.0,100.0,70.0,False
patas monkey,B,175,100.0,100.0,75.0,False
american mink,B,176,100.0,100.0,76.0,False
gerenuk,B,177,100.0,100.0,77.0,False
bat-eared fox,B,190,100.0,100.0,90.0,False
dhole,B,190,100.0,100.0,90.0,False
baird's tapir,B,193,100.0,100.0,93.0,False
grevy's zebra,B,198,100.0,100.0,98.0,False
kirk's dik-dik,B,211,100.0,100.0,111.0,False
american badger,B,215,100.0,100.0,115.0,False
chimpanzee,B,216,100.0,100.0,116.0,False
asian elephant,B,224,100.0,100.0,124.0,False
african wild dog,B,229,100.0,100.0,129.0,False
glaucomys species,B,240,100.0,100.0,140.0,False
common wombat,B,241,100.0,100.0,141.0,False
tayra,B,243,100.0,100.0,143.0,False
lowland tapir,B,243,100.0,100.0,143.0,False
european bison,B,243,100.0,100.0,143.0,False
eurasian otter,B,247,100.0,100.0,147.0,False
springbok,B,247,100.0,100.0,147.0,False
roan antelope,C,250,0.0,200.0,50.0,False
muntjac genus,C,250,0.0,200.0,50.0,False
giant otter,C,251,0.0,200.0,51.0,False
giant anteater,C,258,0.0,200.0,58.0,False
bornean orangutan,C,277,0.0,200.0,77.0,False
red panda,C,283,0.0,200.0,83.0,False
kob,C,286,0.0,200.0,86.0,False
dromedary camel,C,296,0.0,200.0,96.0,False
domestic goat,C,297,0.0,200.0,97.0,False
bushbuck,C,307,0.0,200.0,107.0,False
northern chamois,C,315,0.0,200.0,115.0,False
cercopithecus species,C,337,0.0,200.0,137.0,False
puma,C,338,0.0,200.0,138.0,False
grant's gazelle,C,341,0.0,200.0,141.0,False
quokka,C,341,0.0,200.0,141.0,False
sambar,C,342,0.0,200.0,142.0,False
red kangaroo,C,342,0.0,200.0,142.0,False
grey wolf,C,348,0.0,200.0,148.0,False
ring-tailed lemur,C,358,0.0,200.0,158.0,False
chital,C,360,0.0,200.0,160.0,False
snow leopard,C,363,0.0,200.0,163.0,False
meerkat,C,364,0.0,200.0,164.0,False
common eland,C,385,0.0,200.0,185.0,False
hartebeest,C,386,0.0,200.0,186.0,False
domestic donkey,C,398,0.0,200.0,198.0,False
dingo,C,399,0.0,200.0,199.0,False
south american coati,D,411,0.0,329.0,82.0,False
japanese macaque,D,412,0.0,330.0,82.0,False
common duiker,D,413,0.0,331.0,82.0,False
hippopotamus,D,418,0.0,335.0,83.0,False
alpine ibex,D,418,0.0,335.0,83.0,False
swamp wallaby,D,420,0.0,336.0,84.0,False
sable antelope,D,424,0.0,340.0,84.0,False
grey fox,D,425,0.0,340.0,85.0,False
thomson's gazelle,D,425,0.0,340.0,85.0,False
blackbuck,D,428,0.0,343.0,85.0,False
jaguar,D,436,0.0,349.0,87.0,False
waterbuck,D,437,0.0,350.0,87.0,False
blesbok,D,439,0.0,352.0,87.0,False
mountain zebra,D,467,0.0,374.0,93.0,False
sika deer,D,471,0.0,377.0,94.0,False
giraffe,D,480,0.0,384.0,96.0,False
reedbuck genus,D,514,0.0,400.78,99.22,True
collared peccary,D,521,0.0,400.19,99.81,True
nilgai,D,549,0.0,400.73,99.27,True
golden jackal,D,551,0.0,400.18,99.82,True
nyala,D,554,0.0,400.72,99.28,True
gemsbok,D,563,0.0,400.53,99.47,True
gorilla species,D,609,0.0,400.66,99.34,True
spotted hyaena,D,640,0.0,400.0,100.0,True
colobus species,D,663,0.0,400.45,99.55,True
striped skunk,D,666,0.0,400.15,99.85,True
hoffmann's two-toed sloth,D,674,0.0,400.59,99.41,True
leaf monkeys genus,D,693,0.0,400.43,99.57,True
klipspringer,D,701,0.0,400.14,99.86,True
mountain goat,D,793,0.0,400.38,99.62,True
tiger,D,798,0.0,400.38,99.62,True
reindeer,D,835,0.0,400.0,100.0,True
cheetah,D,863,0.0,400.35,99.65,True
eulemur species,D,880,0.0,400.0,100.0,True
steenbok,D,957,0.0,400.21,99.79,True
saguinus species,D,1065,0.0,400.0,100.0,True
martes species,D,1298,0.0,400.23,99.77,True
saimiri species,D,1327,0.0,400.15,99.85,True
rock hyrax,D,1336,0.0,400.07,99.93,True
sea otter,D,1404,0.0,400.28,99.72,True
ateles species,D,1437,0.0,400.14,99.86,True
pikas genus,D,1484,0.0,400.27,99.73,True
rhinoceros family,D,1512,0.0,400.13,99.87,True
brown-throated sloth,D,1518,0.0,400.2,99.8,True
brown bear,D,1523,0.0,400.2,99.8,True
common warthog,D,1553,0.0,400.19,99.81,True
domestic sheep,D,1562,0.0,400.13,99.87,True
common fallow deer,D,1589,0.0,400.25,99.75,True
common wildebeest,D,1625,0.0,400.0,100.0,True
vervet monkey,D,1635,0.0,400.0,100.0,True
red deer,D,1697,0.0,400.12,99.88,True
alpine marmot,D,1716,0.0,400.06,99.94,True
lycalopex species,D,1731,0.0,400.06,99.94,True
greater kudu,D,1732,0.0,400.12,99.88,True
callithrix species,D,1736,0.0,400.06,99.94,True
capybara,D,1767,0.0,400.11,99.89,True
short-beaked echidna,D,1767,0.0,400.11,99.89,True
elephant seal,D,1768,0.0,400.17,99.83,True
koala,D,1779,0.0,400.22,99.78,True
weasel species,D,1795,0.0,400.0,100.0,True
arizona black-tailed prairie dog,D,1800,0.0,400.0,100.0,True
cebus species,D,1819,0.0,400.22,99.78,True
agouti genus,D,1853,0.0,400.16,99.84,True
bobcat,D,1861,0.0,400.05,99.95,True
yellow-bellied marmot,D,1898,0.0,399.15,100.85,True
north american porcupine,D,1914,0.0,398.51,101.49,True
leopard,D,1934,0.0,397.67,102.33,True
western gray squirrel,D,1957,0.0,396.62,103.38,True
domestic dog,D,2019,0.0,394.11,105.89,True
african buffalo,D,2051,0.0,392.67,107.33,True
llama genus,D,2085,0.0,391.24,108.76,True
beaver genus,D,2162,0.0,388.2,111.8,True
mongoose family,D,2257,0.0,384.42,115.58,True
