class,band,effective_pool,train_real,train_synth,test_real
african civet,A,6,0,200,6
mouflon,A,6,0,200,6
hog badger genus,A,7,0,200,7
giant armadillo,A,10,0,200,10
domestic pig,A,14,0,200,14
drill,A,15,0,200,15
aye-aye,A,18,0,200,18
malay tapir,A,21,0,200,21
red-necked wallaby,A,23,0,200,23
clouded leopard,A,23,0,200,23
spilogale species,A,24,0,200,24
aardvark,A,28,0,200,28
binturong,A,31,0,200,31
aardwolf,A,39,0,200,39
bongo,A,39,0,200,39
mangabeys genus,A,42,0,200,42
red river hog,A,42,0,200,42
pangolin family,A,45,0,200,45
wolverine,A,46,0,200,46
pinniped clade,A,47,0,200,47
red brocket,A,47,0,200,47
saiga,A,47,0,200,47
brown hyaena,A,55,0,200,55
fossa,A,62,0,200,62
honey badger,A,72,0,200,72
maned wolf,A,76,0,200,76
sun bear,A,78,0,200,78
asiatic wild ass,A,78,0,200,78
domestic water buffalo,A,81,0,200,81
ocelot,A,84,0,200,84
cephalophus species,A,86,0,200,86
leopard cat,A,87,0,200,87
asiatic black bear,A,88,0,200,88
striped hyaena,A,89,0,200,89
fisher,A,92,0,200,92
yak,A,97,0,200,97
sloth bear,A,98,0,200,98
walrus,A,101,0,200,101
old world porcupine family,A,102,0,200,102
raccoon dog,A,105,0,200,105
callicebus genus,A,112,0,200,112
black-backed jackal,A,112,0,200,112
wild cat,A,112,0,200,112
ringtail,A,123,0,200,123
kinkajou,A,125,0,200,125
leopardus species,A,132,0,200,132
genet genus,A,132,0,200,132
water deer,A,133,0,200,133
eurasian badger,A,141,0,200,141
nine-banded armadillo,A,145,0,200,145
canada lynx,B,151,100,100,51
spectacled bear,B,153,100,100,53
caracal,B,159,100,100,59
eurasian lynx,B,161,100,100,61
black wildebeest,B,162,100,100,62
giant panda,B,169,100,100,69
serval,B,170,100,100,70
patas monkey,B,175,100,100,75
american mink,B,176,100,100,76
gerenuk,B,177,100,100,77
bat-eared fox,B,190,100,100,90
dhole,B,190,100,100,90
baird's tapir,B,193,100,100,93
grevy's zebra,B,198,100,100,98
kirk's dik-dik,B,211,100,100,111
american badger,B,215,100,100,115
chimpanzee,B,216,100,100,116
asian elephant,B,224,100,100,124
african wild dog,B,229,100,100,129
glaucomys species,B,240,100,100,140
common wombat,B,241,100,100,141
tayra,B,243,100,100,143
lowland tapir,B,243,100,100,143
european bison,B,243,100,100,143
eurasian otter,B,247,100,100,147
springbok,B,247,100,100,147
roan antelope,C,250,200,0,50
muntjac genus,C,250,200,0,50
giant otter,C,251,200,0,51
giant anteater,C,258,200,0,58
bornean orangutan,C,277,200,0,77
red panda,C,283,200,0,83
kob,C,286,200,0,86
dromedary camel,C,296,200,0,96
domestic goat,C,297,200,0,97
bushbuck,C,307,200,0,107
northern chamois,C,315,200,0,115
cercopithecus species,C,337,200,0,137
puma,C,338,200,0,138
grant's gazelle,C,341,200,0,141
quokka,C,341,200,0,141
sambar,C,342,200,0,142
red kangaroo,C,342,200,0,142
grey wolf,C,348,200,0,148
ring-tailed lemur,C,358,200,0,158
chital,C,360,200,0,160
snow leopard,C,363,200,0,163
meerkat,C,364,200,0,164
common eland,C,385,200,0,185
hartebeest,C,386,200,0,186
domestic donkey,C,398,200,0,198
dingo,C,399,200,0,199
south american coati,D,411,329,0,82
japanese macaque,D,412,330,0,82
common duiker,D,413,331,0,82
hippopotamus,D,418,335,0,83
alpine ibex,D,418,335,0,83
swamp wallaby,D,420,336,0,84
sable antelope,D,424,340,0,84
grey fox,D,425,340,0,85
thomson's gazelle,D,425,340,0,85
blackbuck,D,428,343,0,85
jaguar,D,436,349,0,87
waterbuck,D,437,350,0,87
