common_name,scientific_name,level
aardvark,orycteropus afer,species
aardwolf,proteles cristata,species
african buffalo,syncerus caffer,species
african civet,civettictis civetta,species
african elephant,loxodonta africana,species
african wild dog,lycaon pictus,species
agouti genus,dasyprocta,genus
alpine ibex,capra ibex,species
alpine marmot,marmota marmota,species
american badger,taxidea taxus,species
american bison,bison bison,species
american black bear,ursus americanus,species
american mink,neovison vison,species
arizona black-tailed prairie dog,cynomys ludovicianus,species
asian elephant,elephas maximus,species
asiatic black bear,ursus thibetanus,species
asiatic wild ass,equus hemionus,species
ateles species,ateles,genus
aye-aye,daubentonia madagascariensis,species
baboon genus,papio,genus
baird's tapir,tapirus bairdii,species
bat-eared fox,otocyon megalotis,species
beaver genus,castor,genus
bighorn sheep,ovis canadensis,species
binturong,arctictis binturong,species
black wildebeest,connochaetes gnou,species
black-backed jackal,canis mesomelas,species
blackbuck,antilope cervicapra,species
blesbok,damaliscus pygargus,species
bobcat,lynx rufus,species
bongo,tragelaphus eurycerus,species
bornean orangutan,pongo pygmaeus,species
brown bear,ursus arctos,species
brown hyaena,parahyaena brunnea,species
brown-throated sloth,bradypus variegatus,species
bushbuck,tragelaphus scriptus,species
california ground squirrel,otospermophilus beecheyi,species
callicebus genus,callicebus,genus
callithrix species,callithrix,genus
canada lynx,lynx canadensis,species
capybara,hydrochoerus hydrochaeris,species
caracal,caracal caracal,species
cebus species,cebus,genus
cephalophus species,cephalophus,genus
cercopithecus species,cercopithecus,genus
cheetah,acinonyx jubatus,species
chimpanzee,pan troglodytes,species
chipmunk genus,tamias,genus
chital,axis axis,species
clouded leopard,neofelis nebulosa,species
collared peccary,pecari tajacu,species
colobus species,colobus,genus
common duiker,sylvicapra grimmia,species
common eland,tragelaphus oryx,species
common fallow deer,dama dama,species
common warthog,phacochoerus africanus,species
common wildebeest,connochaetes taurinus,species
common wombat,vombatus ursinus,species
cottontail rabbits genus,sylvilagus,genus
coyote,canis latrans,species
cricetidae family,cricetidae,family
dhole,cuon alpinus,species
dingo,canis lupus dingo,species
domestic cat,felis catus,species
domestic cattle,bos taurus,species
domestic dog,canis familiaris,species
domestic donkey,equus asinus,species
domestic goat,capra aegagrus hircus,species
domestic horse,equus caballus,species
domestic pig,sus scrofa scrofa,species
domestic sheep,ovis aries,species
domestic water buffalo,bubalus bubalis,species
drill,mandrillus leucophaeus,species
dromedary camel,camelus dromedarius,species
eared seals,otariidae,family
eastern cottontail,sylvilagus floridanus,species
eastern fox squirrel,sciurus niger,species
eastern gray squirrel,sciurus carolinensis,species
eastern grey kangaroo,macropus giganteus,species
elephant seal,mirounga,genus
elk,cervus canadensis,species
eulemur species,eulemur,genus
eurasian badger,meles meles,species
eurasian lynx,lynx lynx,species
eurasian otter,lutra lutra,species
eurasian red squirrel,sciurus vulgaris,species
european bison,bison bonasus,species
european hare,lepus europaeus,species
european rabbit,oryctolagus cuniculus,species
european roe deer,capreolus capreolus,species
fisher,pekania pennanti,species
fossa,cryptoprocta ferox,species
gemsbok,oryx gazella,species
genet genus,genetta,genus
gerenuk,litocranius walleri,species
giant anteater,myrmecophaga tridactyla,species
giant armadillo,priodontes maximus,species
giant otter,pteronura brasiliensis,species
giant panda,ailuropoda melanoleuca,species
giraffe,giraffa camelopardalis,species
glaucomys species,glaucomys,genus
golden jackal,canis aureus,species
golden mantled ground squirrel,callospermophilus lateralis,species
gorilla species,gorilla,genus
grant's gazelle,nanger granti,species
greater kudu,tragelaphus strepsiceros,species
grevy's zebra,equus grevyi,species
grey fox,urocyon cinereoargenteus,species
grey wolf,canis lupus,species
hares and jackrabbits genus,lepus,genus
hartebeest,alcelaphus buselaphus,species
hedgehog family,erinaceidae,family
hippopotamus,hippopotamus amphibius,species
hoffmann's two-toed sloth,choloepus hoffmanni,species
hog badger genus,arctonyx,genus
honey badger,mellivora capensis,species
howler monkey genus,alouatta,genus
human,homo sapiens,species
impala,aepyceros melampus,species
jaguar,panthera onca,species
japanese macaque,macaca fuscata,species
kangaroo family,macropodidae,family
kinkajou,potos flavus,species
kirk's dik-dik,madoqua kirkii,species
klipspringer,oreotragus oreotragus,species
koala,phascolarctos cinereus,species
kob,kobus kob,species
leaf monkeys genus,presbytis,genus
leopard,panthera pardus,species
leopard cat,prionailurus bengalensis,species
leopardus species,leopardus,genus
lion,panthera leo,species
llama genus,lama,genus
lowland tapir,tapirus terrestris,species
lycalopex species,lycalopex,genus
macaque species,macaca,genus
malay tapir,tapirus indicus,species
maned wolf,chrysocyon brachyurus,species
mangabeys genus,cercocebus,genus
martes species,martes,genus
meerkat,suricata suricatta,species
mongoose family,herpestidae,family
moose,alces alces,species
mouflon,ovis orientalis,species
mountain goat,oreamnos americanus,species
mountain zebra,equus zebra,species
mule deer,odocoileus hemionus,species
muntjac genus,muntiacus,genus
muridae family,muridae,family
muskrat,ondatra zibethicus,species
nilgai,boselaphus tragocamelus,species
nine-banded armadillo,dasypus novemcinctus,species
north american porcupine,erethizon dorsatum,species
north american river otter,lontra canadensis,species
northern chamois,rupicapra rupicapra,species
northern raccoon,procyon lotor,species
nutria,myocastor coypus,species
nyala,tragelaphus angasii,species
ocelot,leopardus pardalis,species
old world porcupine family,hystricidae,family
opossum family,didelphidae,family
pangolin family,manidae,family
patas monkey,erythrocebus patas,species
pikas genus,ochotona,genus
pinniped clade,pinniped,family
plains zebra,equus quagga,species
pronghorn,antilocapra americana,species
puma,puma concolor,species
quokka,setonix brachyurus,species
raccoon dog,nyctereutes procyonoides,species
rattus genus,rattus,genus
red brocket,mazama americana,species
red deer,cervus elaphus,species
red fox,vulpes vulpes,species
red kangaroo,osphranter rufus,species
red panda,ailurus fulgens,species
red river hog,potamochoerus porcus,species
red squirrel,tamiasciurus hudsonicus,species
red-necked wallaby,macropus rufogriseus,species
reedbuck genus,redunca,genus
reindeer,rangifer tarandus,species
rhinoceros family,rhinocerotidae,family
ring-tailed lemur,lemur catta,species
ringtail,bassariscus astutus,species
roan antelope,hippotragus equinus,species
rock hyrax,procavia capensis,species
sable antelope,hippotragus niger,species
saguinus species,saguinus,genus
saiga,saiga tatarica,species
saimiri species,saimiri,genus
sambar,rusa unicolor,species
sea otter,enhydra lutris,species
serval,leptailurus serval,species
short-beaked echidna,tachyglossus aculeatus,species
