family_label,family_scientific,genus_scientific,species_scientific,species_common_name,source,inat_observation_count
cricetidae family,cricetidae,abrawayaomys,abrawayaomys ruschii,,inat,
cricetidae family,cricetidae,,abrothrix andina,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix andinus,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix hershkovitzi,,inat,
cricetidae family,cricetidae,,abrothrix hirta,,inat,
cricetidae family,cricetidae,,abrothrix illutea,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix illuteus,,inat,
cricetidae family,cricetidae,,abrothrix jelskii,,inat,
cricetidae family,cricetidae,,abrothrix lanosa,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix lanosus,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix longipilis,,speciesnet+inat,
cricetidae family,cricetidae,,abrothrix manni,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix markhami,,inat,
cricetidae family,cricetidae,,abrothrix olivacea,,inat,
cricetidae family,cricetidae,abrothrix,abrothrix olivaceus,,inat,
cricetidae family,cricetidae,,abrothrix sanborni,,inat,
cricetidae family,cricetidae,aegialomys,aegialomys baroni,,inat,
cricetidae family,cricetidae,aegialomys,aegialomys galapagoensis,,inat,
cricetidae family,cricetidae,aegialomys,aegialomys ica,,inat,
cricetidae family,cricetidae,aegialomys,aegialomys xanthaeolus,,speciesnet+inat,
cricetidae family,cricetidae,aepeomys,aepeomys lugens,,inat,
cricetidae family,cricetidae,aepeomys,aepeomys reigi,,inat,
cricetidae family,cricetidae,akodon,akodon aerosus,,inat,
cricetidae family,cricetidae,akodon,akodon affinis,,inat,
cricetidae family,cricetidae,akodon,akodon albiventer,,inat,
cricetidae family,cricetidae,akodon,akodon aliquantulus,,inat,
cricetidae family,cricetidae,akodon,akodon azarae,,inat,
cricetidae family,cricetidae,akodon,akodon baliolus,,inat,
cricetidae family,cricetidae,akodon,akodon bogotensis,,inat,
cricetidae family,cricetidae,akodon,akodon boliviensis,,inat,
cricetidae family,cricetidae,akodon,akodon budini,,inat,
cricetidae family,cricetidae,akodon,akodon caenosus,,inat,
