genus_label,genus_scientific,species_scientific,species_common_name,source,inat_observation_count
howler monkey genus,alouatta,alouatta arctoidea,ursine howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta belzebul,red-handed howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta caraya,black-and-gold howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta discolor,,inat,
howler monkey genus,alouatta,alouatta guariba,,inat,
howler monkey genus,alouatta,alouatta juara,juruá red howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta macconnelli,,inat,
howler monkey genus,alouatta,alouatta nigerrima,,inat,
howler monkey genus,alouatta,alouatta palliata,mantled howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta pigra,,inat,
howler monkey genus,alouatta,alouatta puruensis,purús red howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta sara,bolivian red howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta seniculus,colombian red howler monkey,speciesnet+inat,
howler monkey genus,alouatta,alouatta ululata,,inat,
hog badger genus,arctonyx,arctonyx albogularis,,inat,
hog badger genus,arctonyx,arctonyx collaris,greater hog badger,speciesnet+inat,
hog badger genus,arctonyx,arctonyx hoevenii,sumatran hog badger,speciesnet+inat,
ateles species,ateles,ateles belzebuth,white-bellied spider monkey,speciesnet+inat,
ateles species,ateles,ateles chamek,black-faced black spider monkey,speciesnet+inat,
ateles species,ateles,ateles fusciceps,,inat,
ateles species,ateles,ateles geoffroyi,,inat,
ateles species,ateles,ateles hybridus,variegated spider monkey,speciesnet+inat,
ateles species,ateles,ateles marginatus,,inat,
ateles species,ateles,ateles paniscus,,inat,
callicebus genus,callicebus,callicebus aureipalatii,,inat,
callicebus genus,callicebus,callicebus baptista,,inat,
callicebus genus,callicebus,callicebus barbarabrownae,,inat,
callicebus genus,callicebus,callicebus bernhardi,,inat,
callicebus genus,callicebus,callicebus brunneus,,inat,
callicebus genus,callicebus,callicebus caligatus,,inat,
callicebus genus,callicebus,callicebus caquetensis,,inat,
callicebus genus,callicebus,callicebus cinerascens,,inat,
callicebus genus,callicebus,callicebus coimbrai,,inat,
callicebus genus,callicebus,callicebus cupreus,,inat,
callicebus genus,callicebus,callicebus discolor,,inat,
callicebus genus,callicebus,callicebus donacophilus,,inat,
callicebus genus,callicebus,callicebus dubius,,inat,
callicebus genus,callicebus,callicebus hoffmannsi,,inat,
callicebus genus,callicebus,callicebus lucifer,,inat,
callicebus genus,callicebus,callicebus lugens,,inat,
callicebus genus,callicebus,callicebus medemi,,inat,
callicebus genus,callicebus,callicebus melanochir,,inat,
callicebus genus,callicebus,callicebus modestus,,inat,
callicebus genus,callicebus,callicebus moloch,,inat,
callicebus genus,callicebus,callicebus nigrifrons,,inat,
callicebus genus,callicebus,callicebus oenanthe,,inat,
callicebus genus,callicebus,callicebus olallae,,inat,
callicebus genus,callicebus,callicebus ornatus,,inat,
callicebus genus,callicebus,callicebus pallescens,,inat,
callicebus genus,callicebus,callicebus personatus,,inat,
callicebus genus,callicebus,callicebus purinus,,inat,
callicebus genus,callicebus,callicebus regulus,,inat,
callicebus genus,callicebus,callicebus stephennashi,,inat,
callicebus genus,callicebus,callicebus torquatus,,inat,
callithrix species,callithrix,callibella humilis,,inat,
callithrix species,callithrix,callithrix aurita,,inat,
callithrix species,callithrix,callithrix flaviceps,,inat,
callithrix species,callithrix,callithrix geoffroyi,,inat,
callithrix species,callithrix,callithrix jacchus,common marmoset,speciesnet+inat,
callithrix species,callithrix,callithrix jachus,,inat,
callithrix species,callithrix,callithrix kuhlii,,inat,
callithrix species,callithrix,callithrix penicillata,,inat,
callithrix species,callithrix,callithrix pygmaea,,inat,
callithrix species,callithrix,mico acariensis,,inat,
callithrix species,callithrix,mico argentatus,,inat,
callithrix species,callithrix,mico chrysoleucos,,inat,
callithrix species,callithrix,mico chrysoleucus,,inat,
callithrix species,callithrix,mico emiliae,,inat,
callithrix species,callithrix,mico humeralifer,,inat,
callithrix species,callithrix,mico humilis,,inat,
callithrix species,callithrix,mico intermedius,,inat,
callithrix species,callithrix,mico leucippe,,inat,
callithrix species,callithrix,mico manicorensis,,inat,
callithrix species,callithrix,mico marcai,,inat,
callithrix species,callithrix,mico mauesi,,inat,
callithrix species,callithrix,mico melanurus,black-tailed marmoset,speciesnet+inat,
callithrix species,callithrix,mico munduruku,,inat,
callithrix species,callithrix,mico nigriceps,,inat,
callithrix species,callithrix,mico rondoni,rondon's marmoset,speciesnet+inat,
callithrix species,callithrix,mico saterei,,inat,
callithrix species,callithrix,mico schneideri,,inat,
beaver genus,castor,castor canadensis,american beaver,speciesnet+inat,
beaver genus,castor,castor fiber,eurasian beaver,speciesnet+inat,
cebus species,cebus,cebus aequatorialis,,speciesnet+inat,
cebus species,cebus,cebus albifrons,humboldt's white-fronted capuchin,speciesnet+inat,
cebus species,cebus,cebus apella,,inat,
cebus species,cebus,cebus brunneus,,inat,
cebus species,cebus,cebus capucinus,colombian white-throated capuchin,speciesnet+inat,
cebus species,cebus,cebus castaneus,,inat,
cebus species,cebus,cebus cay,,inat,
cebus species,cebus,cebus cesarae,,speciesnet+inat,
cebus species,cebus,cebus cuscinus,,speciesnet+inat,
