common_name,scientific_name,level,total_images,commercially_safe,cc0,cc_by,cc_by_nc,cc_by_sa,cc_by_nd,cc_by_nc_sa,cc_by_nc_nd,other
white-tailed deer,odocoileus virginianus,species,463529,61865,9238,52627,376408,3610,1127,6224,14295,0
eastern gray squirrel,sciurus carolinensis,species,402406,47196,9393,37803,338631,1859,361,4870,9489,0
squirrel family,sciuridae,family,379223,51099,8057,43042,299709,4131,1081,8826,14377,0
mule deer,odocoileus hemionus,species,233505,29216,5167,24049,183005,2007,1206,2687,15384,0
northern raccoon,procyon lotor,species,222123,23459,5083,18376,184574,3530,740,3056,6764,0
coyote,canis latrans,species,187721,20071,4147,15924,156687,1893,630,2323,6117,0
eastern cottontail,sylvilagus floridanus,species,185552,18329,3504,14825,158872,1412,284,2527,4128,0
eastern fox squirrel,sciurus niger,species,176062,16646,2725,13921,153433,827,458,1410,3288,0
red fox,vulpes vulpes,species,168081,20852,4178,16674,140002,1201,210,2018,3798,0
domestic cat,felis catus,species,149953,20415,6889,13526,121462,1491,187,2038,4360,0
cricetidae family,cricetidae,family,149094,18765,3750,15015,120275,1516,264,2563,5711,0
beaver genus,castor,genus,138058,19634,3831,15803,112274,1117,470,1796,2767,0
cottontail rabbits genus,sylvilagus,genus,135570,14164,2299,11865,114437,815,318,1733,4103,0
eared seals,otariidae,family,115635,16725,2811,13914,91717,1519,171,2606,2897,0
opossum family,didelphidae,family,110494,11832,2606,9226,92054,1671,392,1853,2692,0
eurasian red squirrel,sciurus vulgaris,species,104556,15353,3694,11659,85546,560,53,1653,1391,0
red squirrel,tamiasciurus hudsonicus,species,102616,11888,2295,9593,86922,464,148,1341,1853,0
american black bear,ursus americanus,species,102304,10206,2303,7903,79411,476,197,3744,8270,0
chipmunk genus,tamias,genus,96451,9974,1867,8107,80897,635,117,1330,3498,0
european roe deer,capreolus capreolus,species,88903,13564,2591,10973,71919,611,112,1410,1287,0
domestic dog,canis familiaris,species,87755,7615,1301,6314,76186,707,182,1001,2064,0
hares and jackrabbits genus,lepus,genus,84438,11072,1719,9353,68106,630,217,1147,3266,0
rattus genus,rattus,genus,80457,12804,2692,10112,62665,1186,125,1752,1925,0
muridae family,muridae,family,78450,12176,2255,9921,62477,1206,158,1126,1307,0
moose,alces alces,species,75154,10543,1701,8842,61998,451,80,737,1345,0
wild boar,sus scrofa,species,70651,9244,1375,7869,57925,642,109,1292,1439,0
muskrat,ondatra zibethicus,species,69956,8166,1386,6780,58628,478,103,1003,1578,0
elk,cervus canadensis,species,68314,10484,1270,9214,54236,328,478,710,2078,0
bobcat,lynx rufus,species,67151,6311,912,5399,55268,979,217,1319,3057,0
california ground squirrel,otospermophilus beecheyi,species,67117,7590,1371,6219,55912,306,51,986,2272,0
hedgehog family,erinaceidae,family,66874,8830,1554,7276,47333,478,47,9274,912,0
koala,phascolarctos cinereus,species,66376,2698,387,2311,62015,744,275,392,252,0
kangaroo family,macropodidae,family,66359,6602,1641,4961,54701,999,287,1343,2427,0
woodchuck,marmota monax,species,60630,6249,1366,4883,52132,321,63,830,1035,0
macaque species,macaca,genus,60532,9577,1246,8331,47106,697,53,1436,1663,0
north american river otter,lontra canadensis,species,57653,7380,1321,6059,44740,238,129,740,4426,0
grey fox,urocyon cinereoargenteus,species,57392,4941,850,4091,43674,464,175,1435,6703,0
european rabbit,oryctolagus cuniculus,species,57030,10210,2097,8113,44280,579,69,954,938,0
striped skunk,mephitis mephitis,species,55259,6173,1174,4999,44751,478,106,1017,2734,0
european hare,lepus europaeus,species,44935,6836,1179,5657,36389,301,74,597,738,0
nutria,myocastor coypus,species,43758,5398,894,4504,36231,348,76,763,942,0
domestic cattle,bos taurus,species,40481,5049,777,4272,33682,445,68,627,610,0
