taxon_id,scientific_name,rank,target_class,match_type
47062,Orycteropus afer,species,aardvark,species
934066,Orycteropus afer adametzi,subspecies,aardvark,subspecies
698482,Orycteropus afer afer,subspecies,aardvark,subspecies
934067,Orycteropus afer wertheri,subspecies,aardvark,subspecies
57561,Proteles cristata,species,aardwolf,species
1089415,Proteles cristata cristata,subspecies,aardwolf,subspecies
1089417,Proteles cristata septentrionalis,subspecies,aardwolf,subspecies
42405,Syncerus caffer,species,african buffalo,species
532816,Syncerus caffer brachyceros,subspecies,african buffalo,subspecies
516814,Syncerus caffer caffer,subspecies,african buffalo,subspecies
199289,Syncerus caffer nanus,subspecies,african buffalo,subspecies
41627,Civettictis civetta,species,african civet,species
574901,Civettictis civetta australis,subspecies,african civet,subspecies
1054122,Civettictis civetta civetta,subspecies,african civet,subspecies
1272231,Civettictis civetta congica,subspecies,african civet,subspecies
1272232,Civettictis civetta pauli,subspecies,african civet,subspecies
1118468,Civettictis civetta schwarzi,subspecies,african civet,subspecies
1272233,Civettictis civetta volkmanni,subspecies,african civet,subspecies
43694,Loxodonta africana,species,african elephant,species
357911,Loxodonta africana,species,african elephant,species
199301,Loxodonta africana cyclotis,subspecies,african elephant,subspecies
42093,Lycaon pictus,species,african wild dog,species
1420298,Lycaon pictus lupinus,subspecies,african wild dog,subspecies
1420300,Lycaon pictus manguensis,subspecies,african wild dog,subspecies
711435,Lycaon pictus pictus,subspecies,african wild dog,subspecies
711426,Lycaon pictus sharicus,subspecies,african wild dog,subspecies
1420299,Lycaon pictus somalicus,subspecies,african wild dog,subspecies
43711,Dasyprocta,genus,agouti genus,genus
43721,Dasyprocta azarae,species,agouti genus,genus
1666519,Dasyprocta azarae azarae,subspecies,agouti genus,genus
1666514,Dasyprocta azarae urucuma,subspecies,agouti genus,genus
43720,Dasyprocta coibae,species,agouti genus,genus
43719,Dasyprocta cristata,species,agouti genus,genus
607211,Dasyprocta croconota,species,agouti genus,genus
43715,Dasyprocta fuliginosa,species,agouti genus,genus
1666518,Dasyprocta fuliginosa fuliginosa,subspecies,agouti genus,genus
1666517,Dasyprocta fuliginosa zamorae,subspecies,agouti genus,genus
43717,Dasyprocta guamara,species,agouti genus,genus
607213,Dasyprocta iacki,species,agouti genus,genus
43716,Dasyprocta kalinowskii,species,agouti genus,genus
852338,Dasyprocta leporina,species,agouti genus,genus
43722,Dasyprocta leporina,species,agouti genus,genus
43714,Dasyprocta mexicana,species,agouti genus,genus
43713,Dasyprocta prymnolopha,species,agouti genus,genus
43712,Dasyprocta punctata,species,agouti genus,genus
1666502,Dasyprocta punctata bellula,subspecies,agouti genus,genus
1666504,Dasyprocta punctata callida,subspecies,agouti genus,genus
198152,Dasyprocta punctata chiapensis,subspecies,agouti genus,genus
1666505,Dasyprocta punctata chocoensis,subspecies,agouti genus,genus
1666506,Dasyprocta punctata columbiana,subspecies,agouti genus,genus
1666507,Dasyprocta punctata dariensis,subspecies,agouti genus,genus
1666508,Dasyprocta punctata isthmica,subspecies,agouti genus,genus
1666509,Dasyprocta punctata nuchalis,subspecies,agouti genus,genus
1666510,Dasyprocta punctata pallidiventris,subspecies,agouti genus,genus
1666511,Dasyprocta punctata pandora,subspecies,agouti genus,genus
1666520,Dasyprocta punctata punctata,subspecies,agouti genus,genus
1666512,Dasyprocta punctata richmondi,subspecies,agouti genus,genus
1666513,Dasyprocta punctata underwoodi,subspecies,agouti genus,genus
198153,Dasyprocta punctata yucatanica,subspecies,agouti genus,genus
43718,Dasyprocta ruatanica,species,agouti genus,genus
607212,Dasyprocta variegata,species,agouti genus,genus
1666503,Dasyprocta variegata boliviae,subspecies,agouti genus,genus
1666515,Dasyprocta variegata variegata,subspecies,agouti genus,genus
