dataset_name,query,scientific_name,rank,target_class,match_type
Biome Health Project Maasai Mara 2018,aardvark,orycteropus afer,species,aardvark,species
Nkhotakota Camera Traps,aardvark,orycteropus afer,species,aardvark,species
Snapshot Camdeboo,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Enonkishu,aardvark,orycteropus afer,species,aardvark,species
Snapshot Kgalagadi,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Kruger,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Mountain Zebra,aardvarkantbear,orycteropus afer,species,aardvark,species
Snapshot Safari 2024 Expansion,aardvark,orycteropus afer,species,aardvark,species
Snapshot Serengeti,aardvark,orycteropus afer,species,aardvark,species
WCS Camera Traps,orycteropus afer,orycteropus afer,species,aardvark,species
Biome Health Project Maasai Mara 2018,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Camdeboo,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Kruger,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Mountain Zebra,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Safari 2024 Expansion,aardwolf,proteles cristatus,species,aardwolf,common_name
Snapshot Serengeti,aardwolf,proteles cristatus,species,aardwolf,common_name
WCS Camera Traps,proteles cristata,proteles cristatus,species,aardwolf,species_synonym
Biome Health Project Maasai Mara 2018,buffalo,syncerus caffer,species,african buffalo,species
Nkhotakota Camera Traps,cape_buffalo,syncerus caffer caffer,subspecies,african buffalo,species
Snapshot Camdeboo,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Enonkishu,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Kruger,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Mountain Zebra,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Safari 2024 Expansion,buffalo,syncerus caffer,species,african buffalo,species
Snapshot Serengeti,buffalo,syncerus caffer,species,african buffalo,species
WCS Camera Traps,syncerus caffer,syncerus caffer,species,african buffalo,species
Nkhotakota Camera Traps,african_civet,civettictis civetta,species,african civet,species
WCS Camera Traps,civettictis civetta,civettictis civetta,species,african civet,species
Biome Health Project Maasai Mara 2018,elephant,loxodonta africana,species,african elephant,species
Desert Lion Conservation Camera Traps,loxodanta africana,loxodonta africana,species,african elephant,species
Nkhotakota Camera Traps,african_savanna_elephant,loxodonta africana,species,african elephant,species
Snapshot Enonkishu,elephant,loxodonta africana,species,african elephant,species
Snapshot Kruger,elephant,loxodonta africana,species,african elephant,species
Snapshot Safari 2024 Expansion,elephant,loxodonta africana,species,african elephant,species
Snapshot Serengeti,elephant,loxodonta africana,species,african elephant,species
WCS Camera Traps,loxodonta africana,loxodonta africana,species,african elephant,species
Snapshot Kruger,wilddog,lycaon pictus,species,african wild dog,species
Snapshot Safari 2024 Expansion,wilddog,lycaon pictus,species,african wild dog,species
Snapshot Serengeti,wilddog,lycaon pictus,species,african wild dog,species
WCS Camera Traps,lycaon pictus,lycaon pictus,species,african wild dog,species
Missouri Camera Traps,agouti,dasyprocta,genus,agouti genus,genus
Missouri Camera Traps,coiban_agouti,dasyprocta coibae,species,agouti genus,genus
Orinoquia Camera Traps,black_agouti,dasyprocta fuliginosa,species,agouti genus,genus
Orinoquia Camera Traps,coiban_agouti,dasyprocta coibae,species,agouti genus,genus
Orinoquia Camera Traps,orinoco_agouti,dasyprocta guamara,species,agouti genus,genus
WCS Camera Traps,dasiprocta punctata,dasyprocta punctata,species,agouti genus,genus
WCS Camera Traps,dasyprocta fuliginosa,dasyprocta fuliginosa,species,agouti genus,genus
WCS Camera Traps,dasyprocta leporina,dasyprocta leporina,species,agouti genus,genus
WCS Camera Traps,dasyprocta punctata,dasyprocta punctata,species,agouti genus,genus
Caltech Camera Traps,badger,taxidea taxus,species,american badger,species
Felidae Conservation Fund 2020-2025,american badger,taxidea taxus,species,american badger,species
Idaho Camera Traps,badger,taxidea taxus,species,american badger,species
WSU Lynx,taxidea taxus,taxidea taxus,species,american badger,species
California Small Animals,american black bear,ursus americanus americanus,subspecies,american black bear,species
ENA24,american black bear,ursus americanus,species,american black bear,species
Felidae Conservation Fund 2020-2025,black bear,ursus americanus,species,american black bear,species
Idaho Camera Traps,bear,ursus americanus,species,american black bear,species
