expected_class,predicted_common,predicted_scientific,count,match_level,review_decision
llama_genus,white-tailed deer,odocoileus virginianus,227,order,lookalike
llama_genus,pronghorn,antilocapra americana,120,order,lookalike
llama_genus,domestic cattle,bos taurus,69,order,different
llama_genus,mule deer,odocoileus hemionus,61,order,lookalike
llama_genus,red deer,cervus elaphus,48,order,lookalike
llama_genus,thomson's gazelle,eudorcas thomsonii,40,order,lookalike
llama_genus,domestic sheep,ovis aries,25,order,different
llama_genus,springbok,antidorcas marsupialis,19,order,lookalike
llama_genus,domestic dog,canis familiaris,12,class,different
llama_genus,guenther's dik-dik,madoqua guentheri,10,order,lookalike
llama_genus,coyote,canis latrans,10,class,different
llama_genus,sika deer,cervus nippon,9,order,lookalike
llama_genus,impala,aepyceros melampus,8,order,lookalike
llama_genus,capra species,capra,6,order,skip
llama_genus,blue sheep,pseudois nayaur,5,order,lookalike
llama_genus,bushbuck,tragelaphus scriptus,5,order,lookalike
llama_genus,red fox,vulpes vulpes,5,class,different
llama_genus,domestic horse,equus caballus,5,class,different
llama_genus,european roe deer,capreolus capreolus,5,order,lookalike
llama_genus,common fallow deer,dama dama,5,order,lookalike
llama_genus,pampas deer,ozotoceros bezoarticus,4,order,lookalike
llama_genus,domestic donkey,equus asinus,3,class,different
llama_genus,wild goat,capra aegagrus,3,order,lookalike
llama_genus,mouflon,ovis orientalis,3,order,lookalike
llama_genus,puku,kobus vardonii,3,order,lookalike
llama_genus,domestic cat,felis catus,2,class,different
llama_genus,bobcat,lynx rufus,2,class,different
llama_genus,hylobatidae family,,2,class,skip
llama_genus,american bison,bison bison,1,order,lookalike
llama_genus,ovis species,ovis,1,order,skip
llama_genus,artiodactyla order,,1,order,skip
llama_genus,elk,cervus canadensis,1,order,lookalike
llama_genus,plains zebra,equus quagga,1,class,different
llama_genus,common eland,tragelaphus oryx,1,order,lookalike
llama_genus,odocoileus species,odocoileus,1,order,skip
llama_genus,black-backed jackal,canis mesomelas,1,class,different
llama_genus,przewalski's horse,equus ferus,1,class,different
llama_genus,vervet monkey,chlorocebus pygerythrus,1,class,different
llama_genus,grant's gazelle,nanger granti,1,order,lookalike
llama_genus,collared peccary,pecari tajacu,1,order,lookalike
llama_genus,common warthog,phacochoerus africanus,1,order,lookalike
llama_genus,eastern fox squirrel,sciurus niger,1,class,different
llama_genus,sitatunga,tragelaphus spekii,1,order,lookalike
llama_genus,lion,panthera leo,1,class,different
llama_genus,spotted hyaena,crocuta crocuta,1,class,different
llama_genus,domestic goat,capra aegagrus hircus,1,order,lookalike
domestic_horse,domestic cattle,bos taurus,252,class,different
domestic_horse,red deer,cervus elaphus,31,class,different
domestic_horse,white-tailed deer,odocoileus virginianus,24,class,different
domestic_horse,domestic goat,capra aegagrus hircus,14,class,different
domestic_horse,common wildebeest,connochaetes taurinus,9,class,different
domestic_horse,elk,cervus canadensis,7,class,different
domestic_horse,african elephant,loxodonta africana,3,class,different
domestic_horse,domestic dog,canis familiaris,3,class,different
domestic_horse,mule deer,odocoileus hemionus,3,class,different
domestic_horse,human,homo sapiens,3,class,skip
domestic_horse,dromedary camel,camelus dromedarius,2,class,different
domestic_horse,american bison,bison bison,2,class,different
domestic_horse,puku,kobus vardonii,2,class,different
domestic_horse,impala,aepyceros melampus,2,class,different
domestic_horse,wild goat,capra aegagrus,2,class,different
domestic_horse,pronghorn,antilocapra americana,2,class,different
domestic_horse,thomson's gazelle,eudorcas thomsonii,2,class,different
domestic_horse,sika deer,cervus nippon,1,class,different
domestic_horse,moose,alces alces,1,class,different
domestic_horse,hartebeest,alcelaphus buselaphus,1,class,different
domestic_horse,capra species,capra,1,class,skip
domestic_horse,lion,panthera leo,1,class,different
bighorn_sheep,white-tailed deer,odocoileus virginianus,102,order,lookalike
bighorn_sheep,mule deer,odocoileus hemionus,95,order,lookalike
bighorn_sheep,red deer,cervus elaphus,90,order,lookalike
bighorn_sheep,pronghorn,antilocapra americana,34,order,lookalike
bighorn_sheep,elk,cervus canadensis,18,order,lookalike
bighorn_sheep,domestic dog,canis familiaris,8,class,different
bighorn_sheep,domestic horse,equus caballus,6,class,different
bighorn_sheep,coyote,canis latrans,4,class,different
bighorn_sheep,domestic cat,felis catus,3,class,different
bighorn_sheep,sika deer,cervus nippon,3,order,lookalike
bighorn_sheep,yellow-bellied marmot,marmota flaviventris,2,class,different
bighorn_sheep,common warthog,phacochoerus africanus,2,order,lookalike
bighorn_sheep,human,homo sapiens,1,class,skip
bighorn_sheep,domestic donkey,equus asinus,1,class,different
bighorn_sheep,reindeer,rangifer tarandus,1,order,lookalike
bighorn_sheep,common fallow deer,dama dama,1,order,lookalike
bighorn_sheep,wild boar,sus scrofa,1,order,lookalike
bighorn_sheep,black-tailed jackrabbit,lepus californicus,1,class,different
bighorn_sheep,spotted hyaena,crocuta crocuta,1,class,different
bighorn_sheep,eastern gray squirrel,sciurus carolinensis,1,class,different
bighorn_sheep,moose,alces alces,1,order,lookalike
bighorn_sheep,dromedary camel,camelus dromedarius,1,order,lookalike
rhinoceros_family,domestic cattle,bos taurus,120,no_match,different
rhinoceros_family,african elephant,loxodonta africana,56,no_match,different
rhinoceros_family,common warthog,phacochoerus africanus,33,no_match,different
rhinoceros_family,domestic horse,equus caballus,11,no_match,different
rhinoceros_family,african buffalo,syncerus caffer,11,no_match,different
rhinoceros_family,human,homo sapiens,8,no_match,skip
rhinoceros_family,white-tailed deer,odocoileus virginianus,5,no_match,different
rhinoceros_family,dromedary camel,camelus dromedarius,5,no_match,different
rhinoceros_family,hippopotamus,hippopotamus amphibius,5,no_match,different
rhinoceros_family,common wildebeest,connochaetes taurinus,4,no_match,different
rhinoceros_family,lowland tapir,tapirus terrestris,4,no_match,different
rhinoceros_family,giraffe,giraffa camelopardalis,4,no_match,different
rhinoceros_family,plains zebra,equus quagga,3,no_match,different
rhinoceros_family,red deer,cervus elaphus,1,no_match,different
rhinoceros_family,domestic sheep,ovis aries,1,no_match,different
rhinoceros_family,malay tapir,tapirus indicus,1,no_match,different
rhinoceros_family,domestic dog,canis familiaris,1,no_match,different
rhinoceros_family,wild goat,capra aegagrus,1,no_match,different
rhinoceros_family,mule deer,odocoileus hemionus,1,no_match,different
domestic_donkey,domestic cattle,bos taurus,154,class,different
domestic_donkey,white-tailed deer,odocoileus virginianus,22,class,different
domestic_donkey,wild goat,capra aegagrus,14,class,different
domestic_donkey,domestic goat,capra aegagrus hircus,11,class,different
domestic_donkey,domestic sheep,ovis aries,10,class,different
domestic_donkey,red deer,cervus elaphus,7,class,different
domestic_donkey,mule deer,odocoileus hemionus,7,class,different
domestic_donkey,blue sheep,pseudois nayaur,5,class,different
domestic_donkey,pronghorn,antilocapra americana,5,class,different
domestic_donkey,giraffe,giraffa camelopardalis,4,class,different
domestic_donkey,human,homo sapiens,4,class,skip
domestic_donkey,common wildebeest,connochaetes taurinus,3,class,different
domestic_donkey,capra species,capra,3,class,skip
domestic_donkey,guenther's dik-dik,madoqua guentheri,3,class,different
domestic_donkey,domestic dog,canis familiaris,2,class,different
domestic_donkey,hartebeest,alcelaphus buselaphus,2,class,different
domestic_donkey,sika deer,cervus nippon,1,class,different
domestic_donkey,northern chamois,rupicapra rupicapra,1,class,different
domestic_donkey,thomson's gazelle,eudorcas thomsonii,1,class,different
domestic_donkey,greater kudu,tragelaphus strepsiceros,1,class,different
domestic_donkey,wild boar,sus scrofa,1,class,different
domestic_donkey,coyote,canis latrans,1,class,different
domestic_donkey,impala,aepyceros melampus,1,class,different
domestic_donkey,common fallow deer,dama dama,1,class,different
domestic_donkey,american black bear,ursus americanus,1,class,different
domestic_donkey,common warthog,phacochoerus africanus,1,class,different
domestic_donkey,canis species,canis,1,class,skip
domestic_donkey,lion,panthera leo,1,class,different
domestic_donkey,gemsbok,oryx gazella,1,class,different
domestic_donkey,elk,cervus canadensis,1,class,different
eastern_grey_kangaroo,white-tailed deer,odocoileus virginianus,153,class,different
eastern_grey_kangaroo,domestic cattle,bos taurus,25,class,different
