coco_id,class_name,group_id,group_label,group_source
1,aardvark,114,orycteropus,genus
2,aardwolf,138,proteles,genus
3,african buffalo,159,syncerus,genus
4,african civet,35,civettictis,genus
5,african elephant,49,elephant,override
6,african wild dog,83,lycaon,genus
7,agouti genus,44,dasyprocta,genus
8,alpine ibex,24,capra,genus
9,alpine marmot,91,marmota,genus
10,american badger,164,taxidea,genus
11,american bison,14,bison,genus
12,american black bear,169,ursus,genus
13,american mink,106,neovison,genus
14,arizona black-tailed prairie dog,41,cynomys,genus
15,asian elephant,49,elephant,override
16,asiatic black bear,169,ursus,genus
17,asiatic wild ass,51,equine_unstriped,override
18,ateles species,11,ateles,genus
19,aye-aye,46,daubentonia,genus
20,baboon genus,124,papio,genus
21,baird's tapir,163,tapirus,genus
22,bat-eared fox,119,otocyon,genus
23,beaver genus,26,castor,genus
24,bighorn sheep,121,ovis,genus
25,binturong,9,arctictis,genus
26,black wildebeest,37,connochaetes,genus
27,black-backed jackal,23,canis,genus
28,blackbuck,8,antilope,genus
29,blesbok,43,damaliscus,genus
30,bobcat,84,lynx_caracal_cluster,override
31,bongo,166,tragelaphus,genus
32,bornean orangutan,130,pongo,genus
33,brown bear,169,ursus,genus
34,brown hyaena,68,hyaena,override
35,brown-throated sloth,17,bradypus,genus
36,bushbuck,166,tragelaphus,genus
37,california ground squirrel,120,otospermophilus,genus
38,callicebus genus,19,callicebus,genus
39,callithrix species,20,callithrix,genus
40,canada lynx,84,lynx_caracal_cluster,override
41,capybara,69,hydrochoerus,genus
42,caracal,84,lynx_caracal_cluster,override
43,cebus species,27,cebus,genus
44,cephalophus species,28,cephalophus,genus
45,cercopithecus species,30,cercopithecus,genus
46,cheetah,0,acinonyx,genus
47,chimpanzee,122,pan,genus
48,chipmunk genus,161,tamias,genus
49,chital,12,axis,genus
50,clouded leopard,105,neofelis,genus
51,collared peccary,125,pecari,genus
52,colobus species,36,colobus,genus
53,common duiker,157,sylvicapra,genus
54,common eland,166,tragelaphus,genus
55,common fallow deer,42,dama,genus
56,common warthog,127,phacochoerus,genus
57,common wildebeest,37,connochaetes,genus
58,common wombat,170,vombatus,genus
59,cottontail rabbits genus,158,sylvilagus,genus
60,coyote,23,canis,genus
61,cricetidae family,38,cricetidae,genus
62,dhole,40,cuon,genus
63,dingo,23,canis,genus
64,domestic cat,56,felis,genus
65,domestic cattle,15,bos,genus
66,domestic dog,23,canis,genus
67,domestic donkey,51,equine_unstriped,override
68,domestic goat,24,capra,genus
69,domestic horse,51,equine_unstriped,override
70,domestic pig,156,sus,genus
71,domestic sheep,121,ovis,genus
72,domestic water buffalo,18,bubalus,genus
73,drill,89,mandrillus,genus
74,dromedary camel,22,camelus,genus
75,eared seals,118,otariidae,genus
76,eastern cottontail,158,sylvilagus,genus
77,eastern fox squirrel,152,sciurus,genus
78,eastern gray squirrel,152,sciurus,genus
79,eastern grey kangaroo,87,macropus,genus
80,elephant seal,98,mirounga,genus
81,elk,31,cervus,genus
82,eulemur species,55,eulemur,genus
83,eurasian badger,94,meles,genus
84,eurasian lynx,84,lynx_caracal_cluster,override
85,eurasian otter,81,lutra,genus
86,eurasian red squirrel,152,sciurus,genus
87,european bison,14,bison,genus
88,european hare,77,lepus,genus
89,european rabbit,115,oryctolagus,genus
90,european roe deer,25,capreolus,genus
91,fisher,126,pekania,genus
92,fossa,39,cryptoprocta,genus
93,gemsbok,116,oryx,genus
94,genet genus,58,genetta,genus
95,gerenuk,79,litocranius,genus
96,giant anteater,103,myrmecophaga,genus
97,giant armadillo,134,priodontes,genus
98,giant otter,139,pteronura,genus
99,giant panda,2,ailuropoda,genus
100,giraffe,59,giraffa,genus
101,glaucomys species,60,glaucomys,genus
102,golden jackal,23,canis,genus
103,golden mantled ground squirrel,21,callospermophilus,genus
104,gorilla species,61,gorilla,genus
105,grant's gazelle,57,gazelle,override
106,greater kudu,166,tragelaphus,genus
107,grevy's zebra,173,zebra,override
108,grey fox,168,urocyon,genus
109,grey wolf,23,canis,genus
110,hares and jackrabbits genus,77,lepus,genus
111,hartebeest,4,alcelaphus,genus
112,hedgehog family,53,erinaceidae,genus
113,hippopotamus,65,hippopotamus,genus
114,hoffmann's two-toed sloth,33,choloepus,genus
115,hog badger genus,10,arctonyx,genus
116,honey badger,95,mellivora,genus
117,howler monkey genus,6,alouatta,genus
118,human,67,homo,genus
119,impala,1,aepyceros,genus
120,jaguar,123,panthera_rosette,override
121,japanese macaque,85,macaca,genus
122,kangaroo family,86,macropodidae,genus
123,kinkajou,132,potos,genus
124,kirk's dik-dik,88,madoqua,genus
125,klipspringer,113,oreotragus,genus
126,koala,128,phascolarctos,genus
127,kob,72,kobus,genus
128,leaf monkeys genus,133,presbytis,genus
129,leopard,123,panthera_rosette,override
130,leopard cat,135,prionailurus,genus
131,leopardus species,75,leopardus,genus
132,lion,78,lion,override
133,llama genus,73,lama,genus
134,lowland tapir,163,tapirus,genus
135,lycalopex species,82,lycalopex,genus
136,macaque species,85,macaca,genus
137,malay tapir,163,tapirus,genus
138,maned wolf,34,chrysocyon,genus
