filepath,source,split,expected_class,detection_idx,bbox_norm,megadetector_conf,pred_common,pred_scientific,pred_top1_score,match_level,verdict
data/gbif/images/aardvark/gbif_aardvark_00036.jpg,gbif,,aardvark,1,"[0.7057999968528748, 0.4135962699074298, 0.5884000062942505, 0.8220031261444092]",0.221069,domestic cattle,bos taurus,0.987448,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00025.jpg,gbif,,african_buffalo,4,"[0.6108000241219997, 0.6803721636533737, 0.0568000003695488, 0.1902761161327362]",0.378662,red deer,cervus elaphus,0.318435,order,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00026.jpg,gbif,,african_buffalo,2,"[0.5652000084519386, 0.28547855094075203, 0.19599999487400055, 0.0867086723446846]",0.315276,wild boar,sus scrofa,0.487582,order,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00128.jpg,gbif,,african_buffalo,7,"[0.16520000249147415, 0.3309330977499485, 0.15919999778270721, 0.08040804415941238]",0.480713,hylobatidae family,,0.326079,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00046.jpg,gbif,,african_elephant,3,"[0.6783999800682068, 0.46884361654520035, 0.6431999802589417, 0.7783103585243225]",0.478027,american bison,bison bison,0.424066,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00003.jpg,gbif,,african_wild_dog,1,"[0.29660001397132874, 0.35957446694374084, 0.5932000279426575, 0.23404255509376526]",0.28418,wild boar,sus scrofa,0.619847,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00081.jpg,gbif,,african_wild_dog,1,"[0.719400018453598, 0.47626666724681854, 0.5612000226974487, 0.683733344078064]",0.459717,mule deer,odocoileus hemionus,0.37586,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00086.jpg,gbif,,african_wild_dog,1,"[0.719400018453598, 0.47626666724681854, 0.5612000226974487, 0.683733344078064]",0.459717,mule deer,odocoileus hemionus,0.37586,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00099.jpg,gbif,,african_wild_dog,4,"[0.5083999894559383, 0.5837837755680084, 0.09920000284910202, 0.23663663864135742]",0.407361,domestic sheep,ovis aries,0.457388,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00132.jpg,gbif,,african_wild_dog,2,"[0.9390000216662884, 0.7839879021048546, 0.12200000137090683, 0.13232629001140594]",0.424805,domestic cattle,bos taurus,0.538074,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00152.jpg,gbif,,african_wild_dog,1,"[0.7026000022888184, 0.4858943670988083, 0.43959999084472656, 0.14345738291740417]",0.253906,wild boar,sus scrofa,0.606415,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00157.jpg,gbif,,african_wild_dog,2,"[0.7115999758243561, 0.5642257034778595, 0.17919999361038208, 0.4897959232330322]",0.217041,plains zebra,equus quagga,0.290539,class,uncertain
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00171.jpg,gbif,,african_wild_dog,4,"[0.8921999856829643, 0.613869421184063, 0.20839999616146088, 0.1408526748418808]",0.34375,common wildebeest,connochaetes taurinus,0.381906,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00220.jpg,gbif,,african_wild_dog,1,"[0.4375999867916107, 0.48559998720884323, 0.20080000162124634, 0.10293333232402802]",0.370361,wild boar,sus scrofa,0.724015,class,flag
data/gbif/images/african_wild_dog/gbif_african_wild_dog_00220.jpg,gbif,,african_wild_dog,2,"[0.6449999660253525, 0.4882666692137718, 0.2651999890804291, 0.13813333213329315]",0.361328,red deer,cervus elaphus,0.267046,class,uncertain
data/gbif/images/american_badger/gbif_american_badger_00159.jpg,gbif,,american_badger,2,"[0.3716000020503998, 0.5519207715988159, 0.10559999942779541, 0.1830732226371765]",0.236572,woodchuck,marmota monax,0.327148,class,flag
data/gbif/images/american_bison/gbif_american_bison_00286.jpg,gbif,,american_bison,2,"[0.5189999975264072, 0.5061333402991295, 0.12280000001192093, 0.109866663813591]",0.476818,domestic cat,felis catus,0.358017,class,flag
data/gbif/images/american_black_bear/gbif_american_black_bear_00113.jpg,gbif,,american_black_bear,1,"[0.7177999913692474, 0.36634664237499237, 0.11959999799728394, 0.2556847035884857]",0.298828,wild boar,sus scrofa,0.331577,class,flag
data/gbif/images/asian_elephant/gbif_asian_elephant_00241.jpg,gbif,,asian_elephant,1,"[0.13120000064373016, 0.08736313667031936, 0.2624000012874603, 0.1738138645887375]",0.428711,white-tailed deer,odocoileus virginianus,0.485944,class,flag
data/gbif/images/asiatic_black_bear/gbif_asiatic_black_bear_00054.jpg,gbif,,asiatic_black_bear,1,"[0.2978000044822693, 0.4918657948728651, 0.5956000089645386, 0.9816980361938477]",0.33667,domestic dog,canis familiaris,0.786021,order,flag
data/gbif/images/asiatic_wild_ass/gbif_asiatic_wild_ass_00057.jpg,gbif,,asiatic_wild_ass,1,"[0.5315999984741211, 0.3414560668170452, 0.3447999954223633, 0.5782189965248108]",0.273304,domestic cattle,bos taurus,0.584101,class,flag
data/gbif/images/asiatic_wild_ass/gbif_asiatic_wild_ass_00065.jpg,gbif,,asiatic_wild_ass,2,"[0.4827999956905842, 0.457082848995924, 0.10000000149011612, 0.11464586108922958]",0.271973,domestic cattle,bos taurus,0.570408,class,flag
