generator,prompt_regime,category,n_seeds,map_mean,map_std,map_50_mean,map_50_std,map_75_mean,map_75_std,map_medium_mean,map_medium_std,map_large_mean,map_large_std,mar_1_mean,mar_1_std,mar_10_mean,mar_10_std,mar_100_mean,mar_100_std,mar_medium_mean,mar_medium_std,mar_large_mean,mar_large_std,confusion_overall_mean,confusion_overall_std,confusion_zebra_mean,confusion_zebra_std
realvisxl-lightning,maxlen,local,2,0.023179947398602962,0.0008565965004024582,0.050291940569877625,0.0018979832239228993,0.018802320584654808,0.001530367874498754,0.000425721489591524,0.00012882245985902383,0.025844129733741283,0.0008152873205057181,0.15818223357200623,0.002562233361522781,0.22299445420503616,0.014182825455688823,0.23470290005207062,0.01460662255417799,0.011343160178512335,0.009475439335695513,0.26107093691825867,0.015362652722766407,0.4724810584478008,0.08981681958689568,0.6284146437063942,0.07534293059568488
sd35m,maxlen,local,2,0.053767310455441475,0.0005397615179888602,0.10046974569559097,0.0006433400323824142,0.05265430361032486,0.000484931102254219,0.006917755585163832,3.441026763111305e-05,0.060410359874367714,0.0006242343391168196,0.24712006747722626,0.002398935396967322,0.3217637240886688,0.012457048986425372,0.3358861207962036,0.015699701070308027,0.03820564225316048,0.003338662604790471,0.37384918332099915,0.01743096716659002,0.3400113900910555,0.011272233418322605,0.4716406073718161,0.06267347537288417
flux2-klein-9b,maxlen,local,2,0.03679780848324299,0.0007116258295041583,0.07733399420976639,0.002834849714403371,0.03240344114601612,0.0011582138363255914,0.0006937145881238393,0.000732824881414261,0.04098222032189369,0.0008231542931980797,0.17882094532251358,0.001697812035276472,0.24877364188432693,0.0025446054421330994,0.2634262293577194,0.003095833537094955,0.01407427852973342,0.0027060469697205553,0.2934975028038025,0.002530707518836632,0.292994940396479,0.0022806850106088885,0.3796658220226298,0.020433166676802367
sd35-large-turbo,maxlen,local,2,0.04318842850625515,0.005250672826733402,0.09028484672307968,0.003935872911477712,0.03800385445356369,0.006720451972319714,0.0036347240675240755,0.0022394724663541005,0.047965290024876595,0.006209434605015283,0.20186260342597961,0.01865368938873957,0.2799510359764099,0.016757924142719555,0.2918448895215988,0.013081517767387035,0.013101336546242237,0.003415322453875723,0.3239092081785202,0.015843569337699964,0.21847174099325656,0.052767589982364825,0.3431809389937995,0.022968378124830175
sd35-large,maxlen,local,2,0.054721932858228683,0.001507044862204038,0.0972987748682499,0.004267047042008125,0.054744426161050797,0.0018436032526317184,0.006302970228716731,0.0008412738160629703,0.06132652796804905,0.0010634677208731017,0.25318431854248047,0.0026615313366144472,0.3327869027853012,0.011218332035265942,0.3483356237411499,0.010818337369473302,0.03501050919294357,0.001381968820891896,0.3864392191171646,0.010092336830448898,0.18879198966408267,0.055042872824921804,0.31834574869794496,0.071518263062647
hidream-i1,maxlen,local,2,0.029459967277944088,0.0017276427843990732,0.05933852680027485,0.0020823519785557734,0.026366716250777245,0.0015720484734979962,7.702780567342415e-05,8.298329634848183e-06,0.032620348036289215,0.001626125514315505,0.1670653373003006,0.0012477363767407624,0.2331092432141304,0.0019973707610676512,0.2423064485192299,0.0037117148976725215,0.00043411259684944525,0.0005161514111579376,0.27038104832172394,0.0033389787061543024,0.4964481904935333,0.02800736761510898,0.6830001256767446,0.024591730477314666
gemini-3.1-flash-image-preview,full,api_full,3,0.10452340046564738,0.03612483346164135,0.1852562129497528,0.049644564168548094,0.10634889826178551,0.044003445630031036,0.01186274946667254,0.008366450366486958,0.116365152100722,0.04039039604173733,0.27567844092845917,0.06687386705797983,0.35339610775311786,0.08617997531602306,0.36878474553426105,0.08957621472469711,0.08981271336476009,0.061245743534256845,0.40439117948214215,0.09272507868560625,0.23415007915191674,0.04167968920396917,0.33902117826418354,0.0545042758467922
gpt-image-2-low,full,api_full,3,0.13402466227610907,0.01406251173735205,0.23080717027187347,0.022796031378916375,0.1402625466386477,0.01418558778089518,0.03510666514436404,0.001907945383521299,0.14580226937929788,0.015570414976191996,0.36041181286176044,0.012869228202143963,0.4472854634126027,0.014343021986400029,0.46385488907496136,0.01524821273425512,0.16712436079978943,0.018476551840354558,0.49832723538080853,0.014260616509826678,0.16685586383404674,0.022721136399504592,0.2531434513119495,0.032408165659929856
gpt-image-2-medium,full,api_full,3,0.12617402523756027,0.010915343953251912,0.21196897824605307,0.009993922852843545,0.134363887210687,0.014359760260249349,0.039309692879517875,0.004003205060775819,0.13670689364274344,0.011979568037186621,0.3473759690920512,0.012756971204027098,0.4427455961704254,0.011646152376645059,0.4599830706914266,0.008615309176979277,0.17320172985394797,0.016148792851465532,0.4936734735965729,0.006878888670108914,0.14794330902727446,0.011421531831000534,0.2277036640377685,0.020585912170528024
gemini-3.1-flash-lite-image,full,api_full,3,0.09493466218312581,0.006313353020008554,0.17564616103967032,0.009325430642728602,0.09415444483359654,0.006164928085198326,0.01957577591141065,0.0013886471697094724,0.10409064342578252,0.0072033587693135625,0.2773631314436595,0.0059258416158861705,0.3616941571235657,0.006737420067482324,0.375614861647288,0.006572394539074563,0.05855094641447067,0.005607856538470901,0.41579461097717285,0.008701744262797267,0.14846753302828689,0.021977497403538125,0.21832162728089843,0.02705057177159671
