filepath,source,split,expected_class,detection_idx,bbox_norm,megadetector_conf,pred_common,pred_scientific,pred_top1_score,match_level,verdict
data/gbif/images/aardvark/gbif_aardvark_00009.jpg,gbif,,aardvark,1,"[0.5152000039815903, 0.41520000249147415, 0.9056000113487244, 0.6341333389282227]",0.898926,domestic cattle,bos taurus,0.872725,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00048.jpg,gbif,,african_buffalo,1,"[0.3312000185251236, 0.7007803320884705, 0.13600000739097595, 0.12424969673156738]",0.88531,north american river otter,lontra canadensis,0.777278,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00050.jpg,gbif,,african_buffalo,1,"[0.5563999861478806, 0.6541691720485687, 0.6887999773025513, 0.5812837481498718]",0.862305,african elephant,loxodonta africana,0.535976,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00053.jpg,gbif,,african_buffalo,1,"[0.29200001060962677, 0.695378165692091, 0.15360000729560852, 0.076230488717556]",0.90918,lowland tapir,tapirus terrestris,0.419788,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00074.jpg,gbif,,african_buffalo,1,"[0.49479998648166656, 0.18682212382555008, 0.07919999957084656, 0.14154012501239777]",0.93457,red deer,cervus elaphus,0.919538,order,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00095.jpg,gbif,,african_buffalo,2,"[0.5770000070333481, 0.12133333674864843, 0.17800000309944153, 0.24160000681877136]",0.64209,white-tailed deer,odocoileus virginianus,0.280912,order,uncertain
data/gbif/images/african_buffalo/gbif_african_buffalo_00156.jpg,gbif,,african_buffalo,1,"[0.891600027680397, 0.5578884184360504, 0.2168000042438507, 0.3863227367401123]",0.89502,common warthog,phacochoerus africanus,0.461692,order,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00159.jpg,gbif,,african_buffalo,1,"[0.5968000292778015, 0.2633473314344883, 0.1128000020980835, 0.12237552553415298]",0.918457,common warthog,phacochoerus africanus,0.331599,order,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00199.jpg,gbif,,african_buffalo,1,"[0.8865999728441238, 0.3325342535972595, 0.22679999470710754, 0.49657535552978516]",0.939453,plains zebra,equus quagga,0.618333,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00272.jpg,gbif,,african_buffalo,3,"[0.5874000228941441, 0.3150765709578991, 0.11559999734163284, 0.11307420581579208]",0.915039,plains zebra,equus quagga,0.903288,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00272.jpg,gbif,,african_buffalo,4,"[0.45260001346468925, 0.30270907282829285, 0.12200000137090683, 0.11778563261032104]",0.831055,plains zebra,equus quagga,0.929457,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00272.jpg,gbif,,african_buffalo,5,"[0.5172000005841255, 0.30064782127738, 0.10480000078678131, 0.12073027342557907]",0.687012,plains zebra,equus quagga,0.915959,class,flag
data/gbif/images/african_buffalo/gbif_african_buffalo_00285.jpg,gbif,,african_buffalo,1,"[0.9086000025272369, 0.13973333314061165, 0.18279999494552612, 0.20693333446979523]",0.724609,plains zebra,equus quagga,0.955855,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00010.jpg,gbif,,african_elephant,1,"[0.2678000032901764, 0.600840337574482, 0.22920000553131104, 0.22208882868289948]",0.802246,american bison,bison bison,0.965211,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00018.jpg,gbif,,african_elephant,1,"[0.041600000113248825, 0.47786664962768555, 0.08320000022649765, 0.29546666145324707]",0.936523,human,homo sapiens,0.811869,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00019.jpg,gbif,,african_elephant,2,"[0.45920000970363617, 0.5783999860286713, 0.1143999993801117, 0.24266666173934937]",0.926305,domestic cattle,bos taurus,0.720598,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00024.jpg,gbif,,african_elephant,1,"[0.05460000038146973, 0.6143999993801117, 0.10920000076293945, 0.656000018119812]",0.918497,human,homo sapiens,0.459649,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00127.jpg,gbif,,african_elephant,4,"[0.37699998915195465, 0.06958608329296112, 0.3515999913215637, 0.13917216658592224]",0.656906,domestic cattle,bos taurus,0.484754,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00128.jpg,gbif,,african_elephant,4,"[0.9060000255703926, 0.37282542884349823, 0.18240000307559967, 0.3497300446033478]",0.932617,domestic cattle,bos taurus,0.580684,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00142.jpg,gbif,,african_elephant,1,"[0.08479999750852585, 0.7609477937221527, 0.1695999950170517, 0.2561487555503845]",0.917969,common warthog,phacochoerus africanus,0.888813,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00142.jpg,gbif,,african_elephant,2,"[0.4008000120520592, 0.8188362568616867, 0.1632000058889389, 0.2375524938106537]",0.88623,common warthog,phacochoerus africanus,0.487193,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00154.jpg,gbif,,african_elephant,1,"[0.6399999931454659, 0.5884823128581047, 0.23839999735355377, 0.22675465047359467]",0.895508,domestic cattle,bos taurus,0.673843,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00195.jpg,gbif,,african_elephant,2,"[0.06859999895095825, 0.24160000681877136, 0.1371999979019165, 0.218666672706604]",0.889702,domestic cattle,bos taurus,0.694905,class,flag
data/gbif/images/african_elephant/gbif_african_elephant_00206.jpg,gbif,,african_elephant,1,"[0.7130000293254852, 0.6473805755376816, 0.23240000009536743, 0.2734600007534027]",0.910645,domestic cattle,bos taurus,0.965647,class,flag
