Scientific Name,Image Count
saguinus melanoleucus,1
cephalophus harveyi,18
tragelaphus oryx,300
chlorocebus pygerythrus,300
paradoxurus hermaphroditus,300
blastocerus dichotomus,258
ailuropoda melanoleuca,44
spilogale gracilis,296
sapajus cay,137
smutsia gigantea,9
sapajus macrocephalus,12
erythrocebus patas,157
blarina brevicauda,300
trachypithecus phayrei,16
lontra canadensis,300
ursus americanus,300
cebus capucinus,299
lycalopex griseus,298
cervus canadensis,300
semnopithecus dussumieri,5
gorilla beringei,188
ovis orientalis,6
eulemur rufifrons,82
capricornis sumatraensis,300
pelea capreolus,129
cercopithecus mona,189
tolypeutes matacus,53
sciurus carolinensis,298
taxidea taxus,299
equus asinus,300
rusa unicolor,299
cercopithecus denti,6
phascogale tapoatafa,276
vombatus ursinus,300
colobus guereza,300
vulpes vulpes,299
macaca radiata,300
axis axis,300
macropus robustus,358
gazella dorcas,201
hippopotamus amphibius,300
tamandua tetradactyla,286
hylochoerus meinertzhageni,33
paguma larvata,282
proteles cristata,86
macropus rufogriseus,127
bassariscus astutus,300
canis lupus,286
osphranter rufus,158
pithecia pithecia,50
macaca arctoides,65
callospermophilus lateralis,300
ovis canadensis,300
moschus chrysogaster,3
canis mesomelas,206
odocoileus hemionus,300
eudorcas thomsonii,300
pteronura brasiliensis,186
petaurista elegans,28
ursus arctos,300
eira barbara,299
macaca thibetana,33
sylvicapra grimmia,300
hyaena hyaena,88
sylvisorex vulcanorum,1
ursus thibetanus,108
semnopithecus entellus,287
sus scrofa scrofa,27
potamochoerus larvatus,93
tragelaphus eurycerus,30
arctogalidia trivirgata,96
caracal caracal,136
tetracerus quadricornis,15
capricornis milneedwardsii,22
dendrohyrax arboreus,67
oryx gazella,423
procyon lotor,300
tragelaphus scriptus,492
microcebus murinus,36
arctonyx hoevenii,2
prolemur simus,19
capra nubiana,120
poecilogale albinucha,12
gazella gazella,45
equus quagga,300
ondatra zibethicus,300
conepatus chinga,184
trachypithecus francoisi,3
ictonyx striatus,93
tragelaphus strepsiceros,300
myocastor coypus,299
nanger granti,300
tragelaphus imberbis,74
bassariscus sumichrasti,37
lama guanicoe,300
procapra gutturosa,46
cebus yuracus,52
lycalopex vetulus,12
tremarctos ornatus,108
lutra lutra,300
antechinus swainsonii,56
suncus murinus,297
philantomba monticola,244
sundasciurus lowii,105
cuniculus paca,300
raphicerus sharpei,55
panthera tigris,300
pekania pennanti,316
litocranius walleri,159
otocyon megalotis,212
