storage_key,zotero_filename,zotero_title
5H9PJDUB,Devlin et al. - 2019 - BERT Pre-training of Deep Bidirectional Transform.pdf,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
4XUPMGZ8,Liu et al. - 2021 - Multi-head or Single-head An Empirical Comparison.pdf,Multi-head or Single-head? An Empirical Comparison for Transformer Training
S79798KZ,Werbos - 1990 - Backpropagation through time what it does and how.pdf,Backpropagation through time: what it does and how to do it
ZX2JJG7U,Alom et al. - 2018 - The History Began from AlexNet A Comprehensive Su.pdf,The History Began from AlexNet: A Comprehensive Survey on Deep Learning Approaches
ZPGBXZ8R,Fukushima - 1980 - Neocognitron A self-organizing neural network mod.pdf,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position
KDTCEFW7,Nanopoulos et al. - Feature-based Classi cation of Time-series Data.pdf,Feature-based Classi cation of Time-series Data
QWKUKJWP,Fulcher and Jones - 2014 - Highly Comparative Feature-Based Time-Series Class.pdf,Highly Comparative Feature-Based Time-Series Classification
Y5I2AWGX,Geiger et al. - 2020 - TadGAN Time Series Anomaly Detection Using Genera.pdf,TadGAN: Time Series Anomaly Detection Using Generative Adversarial Networks
39ASHVMV,Ren et al. - 2019 - Time-Series Anomaly Detection Service at Microsoft.pdf,Time-Series Anomaly Detection Service at Microsoft
YVN7IGSN,Woo et al. - 2022 - ETSformer Exponential Smoothing Transformers for .pdf,ETSformer: Exponential Smoothing Transformers for Time-series Forecasting
QQCW89HM,Lim et al. - 2021 - Temporal Fusion Transformers for interpretable mul.pdf,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting
NKKJGJ6U,Zeng et al. - 2023 - Are Transformers Effective for Time Series Forecas.pdf,Are Transformers Effective for Time Series Forecasting?
B3GNTXFP,Ahmed et al. - 2023 - Transformers in Time-Series Analysis A Tutorial.pdf,Transformers in Time-Series Analysis: A Tutorial
8MUE56MS,Wen et al. - 2023 - Transformers in Time Series A Survey.pdf,Transformers in Time Series: A Survey
DRECY95Q,Sanyal et al. - 2023 - Domain-Specificity Inducing Transformers for Sourc.pdf,Domain-Specificity Inducing Transformers for Source-Free Domain Adaptation
BKEDUYNY,Wang et al. - 2020 - Linformer Self-Attention with Linear Complexity.pdf,Linformer: Self-Attention with Linear Complexity
U258UXM2,Kitaev et al. - 2020 - Reformer The Efficient Transformer.pdf,Reformer: The Efficient Transformer
3G4N7VFV,Vaswani et al. - 2023 - Attention Is All You Need.pdf,Attention Is All You Need
GL6FW84N,Bahdanau et al. - 2016 - Neural Machine Translation by Jointly Learning to .pdf,Neural Machine Translation by Jointly Learning to Align and Translate
PXEUPW4Q,Chung et al. - 2014 - Empirical Evaluation of Gated Recurrent Neural Net.pdf,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling
III9LJYR,Senin - 2009 - Dynamic Time Warping Algorithm Review.pdf,Dynamic Time Warping Algorithm Review
WUCI9HXB,Rakthanmanon et al. - 2012 - Searching and Mining Trillions of Time Series Subs.pdf,Searching and Mining Trillions of Time Series Subsequences under Dynamic Time Warping
LBEXVIV8,Adhikari and Agrawal - 2013 - An Introductory Study on Time Series Modeling and .pdf,An Introductory Study on Time Series Modeling and Forecasting
HGYKL585,Foumani et al. - 2023 - Deep Learning for Time Series Classification and E.pdf,Deep Learning for Time Series Classification and Extrinsic Regression: A Current Survey
7JPGBK8V,Fawaz et al. - 2019 - Deep learning for time series classification a re.pdf,Deep learning for time series classification: a review
RBCRRBP7,Lim and Zohren - 2021 - Time-series forecasting with deep learning a surv.pdf,Time-series forecasting with deep learning: a survey
UEQHTZFF,Masini et al. - 2023 - Machine learning advances for time series forecast.pdf,Machine learning advances for time series forecasting
GXS7AGGH,Ao and Fayek - 2023 - Continual Deep Learning for Time Series Modeling.pdf,Continual Deep Learning for Time Series Modeling
SVEQRIKX,Bontempi et al. - 2013 - Machine Learning Strategies for Time Series Foreca.pdf,Machine Learning Strategies for Time Series Forecasting
85Z5IMZZ,Shi et al. - 2022 - Time Series Forecasting (TSF) Using Various Deep L.pdf,Time Series Forecasting (TSF) Using Various Deep Learning Models
JGELEBSW,Heuberger - 2022 - $mathbb{Q}$-Fano threefolds and Laurent inversion.pdf,$\mathbb{Q}$-Fano threefolds and Laurent inversion
